Company,Category,ex-Nokian,Funding,Funding_dollar,Valuation,Core_dummy,experience,M&A,Founded,Revenue,,,,,,,,,,,,,,
QuietOn,manufacturing(wearables),Janne Kyllönen,"$1,500,000","1,500,000 ",,,,,,"284,000 €  (2018)",,,,,,,,,,,,,,
Enhance,SW,Ritesh Tilani,"$1,500,000 ","1,500,000 ",$6m - $9m,0,head of strategy,,2015,,,,,,,,,,,,,,,
Sift wallet,SW,Janne Salminen,"$1,500,000 ","1,500,000 ",$6m - $9m,0,SW product strategy,,2015,,,,,,,,,,,,,,,
Joi Gifts,SW,Alper Celen,"$1,500,000 ","1,500,000 ",$6m - $9m,0,corporate strategy,,2015,,,,,,,,,,,,,,,
CubiCasa,real estate software,Petra Soderling,"€ 900,000 ","990,000 ",€2m - €4m,0,"Director, Product Management(OS)",,2014,,,,,,,,,,,,,,,
Elvium,SW,Jesper Andersen,"€ 830,000 ","913,000 ",€3m - €5m,1,Mechanics Sourcing Manager - Concepting,,2011,,,,,,,,,,,,,,,
Spotbros,SW,Olli Pekka Kallasvuo,"€ 810,000 ","891,000 ",$2m - $3m,1,Head of Mobile Phones Division,,2011,,,,,,,,,,,,,,,
Melodigram,SW,Jonathan Massey,"€ 700,000 ","770,000 ",€3m - €4m,0,Operational Development Manager,,2014,,,,,,,,,,,,,,,
Lumoa,SW,"Carlos del Corral, Suvi Lindfors","€ 650,000","715,000 ",€3m-€4m,0,,,2016,,,,,,,,,,,,,,,
Disior,tech(SW),"Anna-Maria Henell, Sakari Soini","€ 600,000","660,000 ",€2m-€4m,1,HW Product Development Manager,,,,,,,,,,,,,,,,,
EzyInsights,SW,Duane Atkins,"€ 600,000 ","660,000 ",€2m - €4m,0,Senior Java Architect,,,,,,,,,,,,,,,,,
CBTec,,"Sergey Gerasimenko, Sotiris Makrygiannis","€ 570,000","627,000 ",€880000-€1m,0,Director of Applications-MeeGo,,2012,,,,,,,,,,,,,,,
LINK3D,SW,Vishal Singh,"€ 550,000 ","605,000 ",$2m - $4m,0,VP-Applications,,2017,,,,,,,,,,,,,,,
Comptek Solutions,Manufacturing,Vicente Calvo Alonso,"€ 500,000 ","550,000 ",€2m - €3m,1,Specialist-mechanics for Display,,2016,,,,,,,,,,,,,,,
funzi,SW,Arjun Thomas,"€ 500,000 ","550,000 ",€2m - €3m ,0,Global Product Leader,,2014,,,,,,,,,,,,,,,
wavecatch,SW,Giovanni Montesanti,"€ 470,000 ","517,000 ",$1m - $2m,0,Media & Marketing,,2011,,,,,,,,,,,,,,,
LionShare Media,SW,Susan Brazer,"€ 460,000 ","506,000 ",$520k - $780k,0,"VP, Strategy & Business Development",,2014,,,,,,,,,,,,,,,
Booxmedia,Media(SW),,"€ 450,000 ","495,000 ",€7.9m(acquired),,,Amino,,,,,,,,,,,,,,,,
Tribeflame ,gaming,Torulf Jernström,"€ 400,000 ","440,000 ","€ 350,000 ",0,Business Development Manager,,2009,,,,,,,,,,,,,,,
Greenhouse Strategies,Manufacturing,Michael Morris,"€ 280,000 ","308,000 ",$1m - $2m,1,Technology - Digital Network,,2010,,,,,,,,,,,,,,,
